   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      152    0.000    0.000    0.062    0.000 __init__.py:2124(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:213(c_ulonglong)
        4    0.000    0.000    0.000    0.000 __init__.py:2173(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
       42    0.000    0.000    0.000    0.000 __init__.py:2290(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 __init__.py:23(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
       21    0.000    0.000    0.016    0.001 __init__.py:2329(normalize_path)
       21    0.000    0.000    0.000    0.000 __init__.py:2334(_cygwin_patch)
      662    0.000    0.000    0.016    0.000 __init__.py:2345(_normalize_cached)
       50    0.000    0.000    0.000    0.000 __init__.py:2353(_is_egg_path)
        1    0.000    0.000    0.016    0.016 __init__.py:236(_sanity_check)
       24    0.000    0.000    0.000    0.000 __init__.py:2360(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
       48    0.000    0.000    0.000    0.000 __init__.py:2378(yield_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:2407(EntryPoint)
